Gene Symbol,log2FoldChange,Pvalue,Padjusted,innate_immune,species,condition,adaptive,gene_category
SIGLEC11,2.249345173,0.0002514156782,0.002118694709,TRUE,Bos indicus,milk production,FALSE,immune
CFB,3.235934148,9.55E-08,2.66E-06,TRUE,Bos indicus,milk production,FALSE,immune
AXL,-6.228949048,0.0316883356,0.09685731982,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
MIR200C,-24.57935303,3.56E-16,3.98E-15,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
STAG3,-2.36114888,4.89E-05,0.0005397364248,FALSE,Bos indicus,milk production,TRUE,immune
ISG15,3.876827881,5.87E-14,3.37E-10,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
CXCL3,5.103484264,5.59E-15,2.34E-12,FALSE,Bos indicus,milk production,TRUE,immune
PIAS1,2.504330909,0.000225637581,0.001940266498,TRUE,Bos indicus,milk production,FALSE,immune
S100A8,3.723694838,1.12E-12,1.78E-10,TRUE,Bos indicus,milk production,FALSE,immune
FFAR2,6.918458941,1.30E-15,6.67E-13,TRUE,Bos indicus,milk production,FALSE,immune
EPG5,2.98834094,6.18E-07,1.31E-05,FALSE,Bos indicus,milk production,TRUE,immune
LOC617833,-6.372201164,0.01572977063,0.05518312974,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC100852077,4.545314387,3.11E-10,2.00E-08,FALSE,Bos indicus,milk production,TRUE,immune
IL17RD,2.566343597,6.13E-05,0.0006506605615,FALSE,Bos indicus,milk production,TRUE,immune
LOC100848555,-23.54412378,5.76E-15,4.54E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
BCL3,3.810320436,8.22E-11,6.37E-09,TRUE,Bos indicus,milk production,FALSE,immune
LOC508666,3.60010226,4.81E-10,2.88E-08,FALSE,Bos indicus,milk production,TRUE,immune
LOC781112,-23.73774087,3.46E-15,2.85E-14,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IFIT2,-3.935864237,0.1745225288,0.4000098524,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IL22RA2,4.765791555,3.21E-09,1.42E-07,TRUE,Bos indicus,milk production,TRUE,immune
PIAS4,-2.924225783,0.3129096463,0.6296596968,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
IGSF10,4.142676412,2.72E-05,0.0003292365872,FALSE,Bos indicus,milk production,TRUE,immune
BOLA-DQB,-5.519730143,0.05713745982,0.1569495516,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
GRK5,-5.065474141,0.0807451235,0.20848765,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CCR3,3.511508655,3.42E-07,8.11E-06,TRUE,Bos indicus,milk production,TRUE,immune
MIR146A,-3.335331727,0.1823610212,0.4146917527,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CYLD,2.606342106,6.78E-05,0.0007086663137,TRUE,Bos indicus,milk production,FALSE,immune
MEFV,2.25218315,0.04961230264,0.5248346973,TRUE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
RARRES2,-8.766617437,0.001069907754,0.005460101572,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
RAG1,-22.4405075,9.98E-14,6.58E-13,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
SIGLEC1,2.944376675,0.00128618743,0.08509119224,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
CCL3,2.941505,5.09E-14,1.20E-10,FALSE,Bos taurus,MAP Infection,TRUE,immune
CRLF2,-13.2760285,1.06E-05,6.76E-05,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
MASP1,-2.147023272,0.004365312128,0.02108004322,TRUE,Bos indicus,milk production,FALSE,immune
NAIP,2.315989,4.77E-12,2.93E-09,TRUE,Bos taurus,MAP Infection,FALSE,immune
MAFB,2.53768325,8.05E-07,1.65E-05,TRUE,Bos indicus,milk production,FALSE,immune
CD274,3.017326305,7.16E-05,0.01247235589,TRUE,Bos taurus:Bos indicus,BRSV Infection,FALSE,immune
MX2,3.074081228,0.003174744286,0.01422122406,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
MAP1LC3C,2.05121584,0.1079444399,0.2240311057,TRUE,Bos indicus,milk production,FALSE,immune
CXCR2,5.079390725,4.69E-11,3.92E-09,FALSE,Bos indicus,milk production,TRUE,immune
LOC112441494,-5.941067506,0.04040444781,0.1181868758,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
GRO1,-2.922134434,0.277559554,0.5770526538,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
FZD1,-6.939310775,5.02E-05,0.0003090112374,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CTSH,2.180513664,4.15E-08,1.29E-06,TRUE,Bos indicus,milk production,FALSE,immune
ZC3H12A,2.361612087,8.01E-06,0.0001180750891,TRUE,Bos indicus,milk production,FALSE,immune
IRAK2,-2.824892517,0.3297468547,0.6537908609,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
S100A12,-2.384910742,0.2268219034,0.4956421443,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
SYP,-6.919896052,0.02181004682,0.07187846383,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
VSIG1,-7.122827608,0.01821808513,0.06225912331,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
LOC112445610,-3.911244916,5.96E-05,0.0006352078491,FALSE,Bos indicus,milk production,TRUE,immune
LOC508441,3.792483316,2.24E-11,2.11E-09,FALSE,Bos indicus,milk production,TRUE,immune
CCL14,-6.357979451,0.03514745641,0.1052849338,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
CD209,-2.032924625,8.50E-08,1.87E-07,TRUE,Bos taurus,BRSV Infection,FALSE,immune
MIR328,-8.106167118,0.007188357563,0.0288360757,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
C7,-9.43885635,0.0007691072217,0.004036681134,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
ITK,-9.605604186,0.001097296331,0.005580356818,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
ISG15,3.232959801,1.39E-12,7.81E-12,TRUE,Bos taurus,BRSV Infection,FALSE,immune
SAG,4.051588517,2.74E-09,1.25E-07,FALSE,Bos indicus,milk production,TRUE,immune
LGMN,-2.70633268,0.3505434937,0.6827940624,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
BOLA-DYA,-24.50143443,4.40E-16,4.64E-15,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IL13RA1,3.817897376,4.14E-09,1.75E-07,TRUE,Bos indicus,milk production,TRUE,immune
VASP,2.546644631,1.26E-08,4.56E-07,TRUE,Bos indicus,milk production,FALSE,immune
CCL4,2.259527173,0.04337635075,0.4937601812,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
KIR3DL2,2.170364052,0.002008274846,0.02383016299,TRUE,Bos taurus,MAP Infection,TRUE,immune
TLR9,-3.876654627,0.1815558457,0.4130596893,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
TIE1,-2.592733639,0.01891626368,0.3607302123,FALSE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
LILRA4,2.227438064,0.0001471571998,0.001365987502,TRUE,Bos indicus,milk production,TRUE,immune
BCAR1,-6.174410576,0.03326788315,0.1007261884,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
ACHE,2.802813338,4.33E-09,1.80E-07,TRUE,Bos indicus,milk production,FALSE,immune
LOC519242,-2.544317427,0.03165980448,0.09389146266,FALSE,Bos indicus,milk production,TRUE,immune
YJEFN3,-9.237821168,0.0009036031951,0.004667792495,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
LOC101903252,-3.198937375,0.001052211364,0.006829045604,FALSE,Bos indicus,milk production,TRUE,immune
C1QBP,-2.300741017,0.4272330284,0.7741126784,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
CXCL8,5.42673123,4.65E-12,5.91E-10,FALSE,Bos indicus,milk production,TRUE,immune
SCAMP5,-7.905778305,0.006690430266,0.02710234318,TRUE,Bos taurus;Bos indicus,parasite T. annulata Infection,FALSE,immune
SOCS1,2.774526879,0.0002050197169,0.02507470976,TRUE,Bos taurus:Bos indicus,BRSV Infection,TRUE,immune
SLAMF8,2.103623,1.09E-05,0.000770378,TRUE,Bos taurus,MAP Infection,FALSE,immune
IGSF3,2.00305,0.02422859,0.2227334,FALSE,Bos taurus,MAP Infection,TRUE,immune
CXCR1,4.387887764,4.18E-09,1.75E-07,TRUE,Bos indicus,milk production,TRUE,immune
LOC112445615,2.927861228,3.44E-09,1.50E-07,FALSE,Bos indicus,milk production,TRUE,immune
LOC790181,2.521117317,5.23E-08,1.56E-06,FALSE,Bos indicus,milk production,TRUE,immune
LOC112445797,-7.933357492,0.005167089335,0.02172695411,FALSE,Bos taurus;Bos indicus,parasite T. annulata Infection,TRUE,immune
IL31RA,-4.336013941,0.001489333715,0.009033105335,FALSE,Bos indicus,milk production,TRUE,immune
SELE,4.552718069,5.85E-05,0.0006255007561,TRUE,Bos indicus,milk production,FALSE,immune
